Country,Year,Deaths Per Capita
AUS,1979,8.644743827589265
AUS,1980,0.1154792563549234
AUS,1981,2.8100034100707907
AUS,1982,7.975875382679627
AUS,1983,7.6066146908209165
AUS,1984,2.9745911782911447
AUS,1985,8.967242164906414
AUS,1986,5.133790371529562
AUS,1987,3.931393893683456
AUS,1988,8.191044826227778
AUS,1989,9.386026346244725
AUS,1990,2.5234782819105126
AUS,1991,3.1211523803797867
AUS,1992,5.647402472060548
AUS,1993,1.7705970577214203
AUS,1994,1.919406337352506
AUS,1995,7.085385588722071
AUS,1996,4.806774754198012
AUS,1997,7.64261217678361
AUS,1998,9.298018150395789
AUS,1999,7.042859244395644
AUS,2000,8.81005055178591
AUS,2001,1.536849544448452
AUS,2002,4.450826522080355
AUS,2003,3.640116284345286
AUS,2004,4.7761257196478795
AUS,2005,9.479273120681844
AUS,2006,1.861100804108472
AUS,2007,8.885245539043945
AUS,2008,8.205422497029966
AUS,2009,7.18127250527448
AUS,2010,8.941687025765292
AUS,2011,6.801174595549472
AUS,2012,0.0962507895918685
AUS,2013,4.687674267826953
AUS,2014,7.770988842489054
AUS,2015,6.0966387532354815
AUS,2016,2.857896686303165
AUS,2017,2.8768624003218823
FR,1979,4.401835357081707
FR,1980,7.862262969168205
FR,1981,9.21089561547334
FR,1982,7.476440075808113
FR,1983,0.9259429811359576
FR,1984,4.468984712495501
FR,1985,8.277215336883266
FR,1986,3.419594457233137
FR,1987,8.755679711102864
FR,1988,0.4283554823114244
FR,1989,8.815669021224423
FR,1990,3.160832952843833
FR,1991,5.7534014343150925
FR,1992,8.920348728348014
FR,1993,0.39662060304046176
FR,1994,6.230606511836588
FR,1995,1.6816891992659355
FR,1996,8.430499256649492
FR,1997,0.06346122217971484
FR,1998,6.334468782166737
FR,1999,2.7673906730719033
FR,2000,7.645720775390798
FR,2001,4.475011464611586
FR,2002,9.71674017828935
FR,2003,2.6512335751707052
FR,2004,5.4286000541757105
FR,2005,2.967024197466399
FR,2006,1.7562324940147245
FR,2007,1.9107044318490718
FR,2008,1.413302748683103
FR,2009,8.542142507828817
FR,2010,8.603543804500001
FR,2011,5.593613209606553
FR,2012,9.696936715188112
FR,2013,0.004626211015783532
FR,2014,5.057989653180308
FR,2015,2.6064247966971967
FR,2016,3.1941442276594723
FR,2017,6.221621084689683
USA,1979,4.007882322219665
USA,1980,4.474494747177069
USA,1981,7.777453889160495
USA,1982,2.5636910707524874
USA,1983,7.107533014233002
USA,1984,2.183537963237856
USA,1985,3.6116865221251118
USA,1986,4.321931362896624
USA,1987,0.31956021532065115
USA,1988,8.365494128027196
USA,1989,4.4595177119762495
USA,1990,2.18845028651789
USA,1991,1.9036819742528222
USA,1992,6.3855764093196745
USA,1993,0.604113990189098
USA,1994,3.3979079922053157
USA,1995,2.119548949460545
USA,1996,3.8495684256334117
USA,1997,1.3953484479496736
USA,1998,6.039683034350709
USA,1999,4.304158914470284
USA,2000,1.933427793097997
USA,2001,3.4464561775327587
USA,2002,3.369399062292342
USA,2003,3.053568225610092
USA,2004,2.2938554901085464
USA,2005,3.6005709394831733
USA,2006,2.103694330479504
USA,2007,9.249022184142694
USA,2008,5.418686654280695
USA,2009,6.777920772664757
USA,2010,6.488087557394157
USA,2011,3.247495752524332
USA,2012,1.5881936586107948
USA,2013,0.06147036711694698
USA,2014,2.5444443343237366
USA,2015,0.2806525966875606
USA,2016,5.234218115022429
USA,2017,5.943681289146779
